id,date,motion:title,motion:result,code,number,counts:yes,counts:no,counts:abstain
2024-05-14-056,2024-05-14T10:00:10+00:00,"48. Projekt ""Elektrovozy pro MČ Brno-Medlánky"" – návrh smlouvy o poskytnutí podpory",pass,Z9/17,56,39,0,5
2024-05-14-055,2024-05-14T09:58:27+00:00,"47. Projekt ""Sanace skalního řícení v ulici Práčata, městská část Brno-Bosonohy"" – rozhodnutí o poskytnutí dotace",pass,Z9/17,55,47,0,0
2024-05-14-054,2024-05-14T09:58:01+00:00,"46. Projekt ""IT vybavení pro stavební úřad"" – rozhodnutí o poskytnutí dotace",pass,Z9/17,54,45,0,0
2024-05-14-053,2024-05-14T09:57:34+00:00,"45. Projekt ""Integrace cizinců ve městě Brně V."" – rozhodnutí o poskytnutí dotace",pass,Z9/17,53,41,5,0
2024-05-14-052,2024-05-14T09:57:06+00:00,"44. Projekt ""Modernizace kuchyně a jídelny ZŠ Pastviny"" – rozhodnutí o poskytnutí dotace",pass,Z9/17,52,47,0,0
2024-05-14-051,2024-05-14T09:56:40+00:00,43. Finanční prostředky Fondu kofinancování projektů – květen 2024 – návrh rozpočtového opatření,pass,Z9/17,51,46,0,0
2024-05-14-050,2024-05-14T09:56:11+00:00,42. Projekty financované z Fondu kofinancování projektů – květen 2024 – návrh rozpočtového opatření - ostatní odr.,pass,Z9/17,50,45,0,0
2024-05-14-049,2024-05-14T09:55:34+00:00,42. Projekty financované z Fondu kofinancování projektů – květen 2024 – návrh rozpočtového opatření - 1. odr.,pass,Z9/17,49,41,5,0
2024-05-14-048,2024-05-14T09:54:40+00:00,42. Projekty financované z Fondu kofinancování projektů – květen 2024 – návrh rozpočtového opatření - 1. odr.,pass,Z9/17,48,40,4,1
2024-05-14-047,2024-05-14T09:53:50+00:00,41. Výuka hry na hudební nástroje na základních školách – projekt OnStage Brno – návrh na prodloužení termínu vyúčtování,pass,Z9/17,47,39,0,5
2024-05-14-046,2024-05-14T09:53:23+00:00,40. Návrh dodatku č. 2 ke Smlouvě o poskytnutí neinvestiční dotace č. 7223090651 – návrh rozpočtového opatření,pass,Z9/17,46,44,0,0
2024-05-14-045,2024-05-14T09:52:55+00:00,39. Návrh Dodatku č. 1 ke Smlouvě o poskytnutí investičního příspěvku „Komplex Centropolis“ - stažení bodu,pass,Z9/17,45,41,0,2
2024-05-14-044,2024-05-14T09:49:00+00:00,38. Návrh Dodatku č. 1 ke Smlouvě o poskytnutí investičního příspěvku „Bytový dům Palackého 94/96/98“,pass,Z9/17,44,37,5,2
2024-05-14-043,2024-05-14T09:48:34+00:00,37. Návrh Dodatku č. 1 ke Smlouvě o poskytnutí investičního příspěvku „Campus Living“,pass,Z9/17,43,38,5,2
2024-05-14-042,2024-05-14T09:46:47+00:00,36. Návrh Dotačního programu pro poskytování dotací v oblasti podpory kreativních odvětví na rok 2024 – “Pro Kreativní Brno” – 6. etapa – návrh rozpočtového opatření,pass,Z9/17,42,41,0,4
2024-05-14-041,2024-05-14T09:46:16+00:00,"35. Žádost JAZZFESTBRNO AHEAD, s. r. o., o změnu příjemce dotace na projekt JAZZFESTBRNO dětem 2024 - návrh rozpočtového opatření",pass,Z9/17,41,46,0,0
2024-05-14-040,2024-05-14T09:45:42+00:00,"34. Návrh na poskytnutí finančního daru spolku Městský sportovní klub Brno, z. s., na podporu brněnských olympioniků – sportovců seniorů pro rok 2024 – návrh rozpočtového opatření",pass,Z9/17,40,46,0,0
2024-05-14-039,2024-05-14T09:45:13+00:00,33. Návrh na poskytnutí individuální neinvestiční dotace společnosti PLAYzone s. r. o. na uspořádání Mistrovství České republiky v počítačových a mobilních hrách 2024 ve městě Brně – návrh rozpočtového opatření,pass,Z9/17,39,40,5,0
2024-05-14-038,2024-05-14T09:39:13+00:00,32. Návrh na poskytnutí individuální neinvestiční dotace Vysokému učení technickému v Brně na zabezpečení provozu atletického stadionu Pod Palackého vrchem v rámci projektu Centrum brněnské atletiky pro rok 2024 – návrh rozpočtového opatření,pass,Z9/17,38,47,0,0
2024-05-14-037,2024-05-14T09:38:42+00:00,31. Návrh na poskytnutí neinvestičních dotací na podporu významných sportovních akcí konaných ve městě Brně v roce 2024 – návrh rozpočtového opatření,pass,Z9/17,37,41,0,2
2024-05-14-036,2024-05-14T09:38:05+00:00,30. Návrh na poskytnutí neinvestičních dotací na podporu handicapovaných sportovců pro rok 2024 – návrh rozpočtového opatření,pass,Z9/17,36,46,0,0
2024-05-14-035,2024-05-14T09:37:37+00:00,29. Návrh na poskytnutí neinvestičních dotací na podporu mládežnického sportu pro rok 2024,pass,Z9/17,35,46,0,0
2024-05-14-034,2024-05-14T09:36:52+00:00,28. Návrh na poskytnutí neinvestičních příspěvků mateřským školám na zajištění vzdělávacího projektu Technické mateřské školy – návrh rozpočtového opatření,pass,Z9/17,34,44,0,0
2024-05-14-033,2024-05-14T09:36:24+00:00,27. Návrh na přidělení státní dotace od Ministerstva kultury z Programu regenerace městských památkových rezervací a městských památkových zón v roce 2024 a návrh na úhradu povinného podílu města ke státní dotaci – návrh rozpočtového opatření,pass,Z9/17,33,45,0,0
2024-05-14-032,2024-05-14T09:35:50+00:00,26. Návrh na poskytnutí neinvestičních dotací na zachování a obnovu kulturních památek v roce 2024 – návrh rozpočtového opatření,pass,Z9/17,32,38,0,5
2024-05-14-031,2024-05-14T09:35:22+00:00,"25. Návrh na poskytnutí individuální neinvestiční dotace ZO ČSOP Pozemkovému spolku Hády na environmentální vzdělávání, výchovu a osvětu na Hádech, návrh rozpočtového opatření",pass,Z9/17,31,42,0,5
2024-05-14-030,2024-05-14T09:34:39+00:00,"24. Návrh na poskytnutí individuální neinvestiční dotace Nadaci Partnerství, na provoz Otevřené zahrady v roce 2024, návrh smlouvy o poskytnutí dotace",pass,Z9/17,30,41,0,5
2024-05-14-029,2024-05-14T09:34:09+00:00,23. Návrh na poskytnutí investičních dotací v rámci dotačního programu Podpora vytváření zelených střech,pass,Z9/17,29,40,0,5
2024-05-14-028,2024-05-14T09:33:41+00:00,"22. Návrh na poskytnutí účelového investičního příspěvku Veřejné zeleni města Brna, příspěvkové organizaci na projektovou dokumentaci akce ORG 1878 Otevřený les – návrh rozpočtového opatření",pass,Z9/17,28,40,0,5
2024-05-14-027,2024-05-14T09:33:03+00:00,"21. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím bezúročné zápůjčky městské části Brno-sever, návrh rozpočtového opatření",pass,Z9/17,27,40,0,5
2024-05-14-026,2024-05-14T09:32:35+00:00,"21. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím bezúročné zápůjčky městské části Brno-sever, návrh rozpočtového opatření - hlasování o návrhu p. Koláčného",fail,Z9/17,26,8,0,14
2024-05-14-025,2024-05-14T09:31:39+00:00,"21. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím bezúročné zápůjčky městské části Brno-sever, návrh rozpočtového opatření - hlasování o návrhu p. Koláčného",fail,Z9/17,25,14,2,10
2024-05-14-024,2024-05-14T09:29:10+00:00,20. Zapojení Fondu rezerv a rozvoje v souvislosti s návrhem poskytnutí individuální dotace z rozpočtu města Brna v roce 2024 pro spolek Divadlo 3+kk z. s. na projekt „Realizace česko-ukrajinského divadelního projektu Slepci“ – návrh rozpočtového opatření,pass,Z9/17,24,38,5,1
2024-05-14-023,2024-05-14T09:28:33+00:00,19. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím individuální investiční dotace spolku Brněnský lužánecký tenisový klub – zapsaný spolek na rekonstrukci a modernizaci tenisového areálu BLTC – návrh rozpočtového opatření,pass,Z9/17,23,44,0,2
2024-05-14-022,2024-05-14T09:28:00+00:00,18. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím účelového investičního transferu městské části Brno-Řečkovice a Mokrá Hora na realizaci Parku pod hřbitovem – návrh rozpočtového opatření,pass,Z9/17,22,46,0,0
2024-05-14-021,2024-05-14T09:27:29+00:00,17. Rekonstrukce sociálních zařízení v prostorách pavilonu B a vestibulu Waldorfské školy Brno – návrh rozpočtového opatření,pass,Z9/17,21,40,1,4
2024-05-14-020,2024-05-14T09:22:23+00:00,"16. Aktualizace rozpočtu akcí zajišťovaných společností Brněnské vodárny a kanalizace, a. s.– květen 2024 – návrh rozpočtového opatření",pass,Z9/17,20,40,0,7
2024-05-14-019,2024-05-14T09:21:53+00:00,"15. Změna zatřídění účelového transferu z rozpočtu města Brna poskytnutého městské části Brno-Tuřany na akci ""ZŠ Měšťanská – výměna oken"" z neinvestičního na investiční, návrh rozpočtového opatření",pass,Z9/17,19,45,0,0
2024-05-14-018,2024-05-14T09:21:22+00:00,14. Žádost městské části Brno-Žabovřesky o předchozí souhlas s použitím části kladného výsledku hospodaření z vedlejší hospodářské činnosti-bytové hospodářství k jiným účelům,pass,Z9/17,18,38,5,1
2024-05-14-017,2024-05-14T09:20:48+00:00,"13. Členský příspěvek města Brna ve spolku Brněnsko, z. s., pro rok 2024, návrh rozpočtového opatření",pass,Z9/17,17,41,0,5
2024-05-14-016,2024-05-14T09:20:20+00:00,12. Finanční hospodaření dobrovolného svazku obcí Cyklistická stezka Brno – Vídeň za rok 2023,pass,Z9/17,16,39,0,3
2024-05-14-015,2024-05-14T09:19:49+00:00,"11. Návrh změn rozpočtů účelových fondů a veřejných sbírek města Brna, návrh rozpočtových opatření v souvislosti s finančním vypořádáním rozpočtu města Brna za rok 2023",pass,Z9/17,15,40,0,4
2024-05-14-014,2024-05-14T09:19:13+00:00,"10. Návrh závěrečného účtu statutárního města Brna za rok 2023, návrh účetní závěrky statutárního města Brna za rok 2023",pass,Z9/17,14,41,0,4
2024-05-14-013,2024-05-14T08:30:21+00:00,"9. Návrh Dodatku č. 1 ke zřizovací listině Veřejné zeleně města Brna, příspěvkové organizace",pass,Z9/17,13,47,0,0
2024-05-14-012,2024-05-14T08:29:52+00:00,"8. Projekt realizace fotovoltaických systémů (SAKO Brno, a. s.), vyslovení předchozího souhlasu s udělením koncernového pokynu",pass,Z9/17,12,42,5,0
2024-05-14-011,2024-05-14T08:29:24+00:00,"7. Návrh změny stanov obchodní společnosti CD CENTRUM COMS, a. s.",pass,Z9/17,11,41,0,7
2024-05-14-010,2024-05-14T08:28:54+00:00,"6. Návrh Dodatku č. 5 k Deklaraci Koncernu statutárního města Brna, návrh předchozího souhlasu s rozšířením koncernových pokynů č. 1/2023 a č. 3/2023 na nové členy Koncernu statutárního města Brna - 2. a 3. odr.",pass,Z9/17,10,40,0,7
2024-05-14-009,2024-05-14T08:27:51+00:00,"6. Návrh Dodatku č. 5 k Deklaraci Koncernu statutárního města Brna, návrh předchozího souhlasu s rozšířením koncernových pokynů č. 1/2023 a č. 3/2023 na nové členy Koncernu statutárního města Brna - 2. odr. a 3. odr.",pass,Z9/17,9,39,0,7
2024-05-14-008,2024-05-14T08:27:09+00:00,"6. Návrh Dodatku č. 5 k Deklaraci Koncernu statutárního města Brna, návrh předchozího souhlasu s rozšířením koncernových pokynů č. 1/2023 a č. 3/2023 na nové členy Koncernu statutárního města Brna - 1. odr.",pass,Z9/17,8,37,0,10
2024-05-14-007,2024-05-14T08:18:40+00:00,5. Poskytování příspěvků členům Zastupitelstva města Brna,pass,Z9/17,7,41,0,6
2024-05-14-006,2024-05-14T08:18:10+00:00,4. Přehled účastí na schůzích výborů ZMB,pass,Z9/17,6,47,0,1
2024-05-14-005,2024-05-14T08:17:41+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program",pass,Z9/17,5,48,0,0
2024-05-14-004,2024-05-14T08:17:10+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o stažení bodu č. 107",pass,Z9/17,4,46,0,2
2024-05-14-003,2024-05-14T08:13:05+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o stažení bodu č. 51",pass,Z9/17,3,45,0,0
2024-05-14-002,2024-05-14T08:12:43+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o zařazení bodu č. 106, 107",pass,Z9/17,2,44,0,1
2024-05-14-001,2024-05-14T08:09:23+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - ověřovatelé zápisu",pass,Z9/17,1,43,0,0
2024-04-09-083,2024-04-09T10:13:19+00:00,"130. Zapojení statutárního města Brna do projektu Agentury pro sociální začleňování s názvem ""Desegregace vzdělávání dětí a žáků se sociálním znevýhodněním"" – návrh na změnu části usnesení Z9/15. zasedání ZMB, konaného dne 5. 3. 2024, bod č. 124",pass,Z9/16,83,41,5,1
2024-04-09-082,2024-04-09T10:12:33+00:00,129. Změna Územního plánu města Brna – B343_POR_1_22 – návrh na vydání formou opatření obecné povahy,pass,Z9/16,82,45,0,2
2024-04-09-081,2024-04-09T10:11:57+00:00,"127. Změna Územního plánu města Brna B50/07-II – MČ Brno-jih, k. ú. Přízřenice, ul. Moravanská – návrh na vydání formou opatření obecné povahy",pass,Z9/16,81,38,0,10
2024-04-09-080,2024-04-09T10:11:25+00:00,126. Změna Územního plánu města Brna – B1/22 – návrh na vydání formou opatření obecné povahy,pass,Z9/16,80,49,0,0
2024-04-09-079,2024-04-09T10:10:55+00:00,Body č. 123-125,pass,Z9/16,79,45,0,3
2024-04-09-078,2024-04-09T10:10:07+00:00,"121. Návrh Smlouvy o spolupráci při výstavbě veřejné infrastruktury „Výstavba RD Jehnice – jih, 3. etapa“",pass,Z9/16,78,47,0,0
2024-04-09-077,2024-04-09T10:09:34+00:00,120. Návrh Smlouvy o spolupráci při výstavbě veřejné infrastruktury „Obytný soubor Tuřany“,pass,Z9/16,77,48,0,0
2024-04-09-076,2024-04-09T10:08:38+00:00,119. Návrh Smlouvy o spolupráci při výstavbě veřejné infrastruktury „Nová Zbrojovka – objekt B“,pass,Z9/16,76,41,0,7
2024-04-09-075,2024-04-09T10:08:08+00:00,"118. Návrh odnětí svěřeného majetku města městské části Brno-Starý Lískovec, pozemek p. č. 2484/4 v k. ú. Starý Lískovec",pass,Z9/16,75,47,0,0
2024-04-09-074,2024-04-09T10:07:38+00:00,"117. Návrh svěření majetku města městské části Brno-Starý Lískovec, pozemek p. č. 2455/1 v k. ú. Starý Lískovec",pass,Z9/16,74,43,1,3
2024-04-09-073,2024-04-09T10:07:10+00:00,116. Návrh směny části pozemku p. č. 519/2 za část pozemku p. č. 522 oba v k. ú. Nový Lískovec,pass,Z9/16,73,46,0,1
2024-04-09-072,2024-04-09T10:06:42+00:00,"115. Záměr dispozice s pozemky p. č. 308/2, 309/2, 310/2, vše v k. ú. Dolní Heršpice",pass,Z9/16,72,45,0,0
2024-04-09-071,2024-04-09T10:06:11+00:00,"114. Návrh dispozice s pozemky p. č. 1249/1 a p. č. 1359/4, oba v k. ú. Husovice",pass,Z9/16,71,37,0,10
2024-04-09-070,2024-04-09T09:55:38+00:00,"113. Žádost o uznání vlastnického práva k pozemkům p. č. 1538/8 a p. č. 1538/10, vše v k. ú. Stránice",pass,Z9/16,70,49,0,0
2024-04-09-069,2024-04-09T09:54:58+00:00,Body č. 107-112,pass,Z9/16,69,48,0,0
2024-04-09-068,2024-04-09T09:54:02+00:00,Body č. 90-106,pass,Z9/16,68,49,0,0
2024-04-09-067,2024-04-09T09:53:19+00:00,"89. Návrh na zrušení usnesení zasedání ZMB č. Z9/13, konaného dne 12.12.2023, bod č.73 a návrh nabytí pozemku p. č. 2004/2 v k. ú. Obřany pro stavbu ""Brno, MČ Hradiska a Mlýnské nábřeží – dostavba stokové sítě""",pass,Z9/16,67,48,0,0
2024-04-09-066,2024-04-09T09:52:30+00:00,Body č. 78-88 bez bodu 85,pass,Z9/16,66,48,0,0
2024-04-09-065,2024-04-09T09:51:38+00:00,Body č. 71-77,pass,Z9/16,65,49,0,0
2024-04-09-064,2024-04-09T09:51:09+00:00,"70. Návrh prodeje pozemků p. č. 2915/39, p. č. 2915/40, p. č. 2918/18, p. č. 2923 a p. č. 2925, vše v k. ú. Kuřim",pass,Z9/16,64,36,5,5
2024-04-09-063,2024-04-09T09:48:43+00:00,Body č. 65-69,pass,Z9/16,63,48,0,0
2024-04-09-062,2024-04-09T09:47:37+00:00,64. Návrh zpeněžení pozemků p. č. 2700/5 a p. č. 2700/11 v k. ú. Kuřim formou veřejné elektronické dobrovolné dražby,pass,Z9/16,62,39,5,5
2024-04-09-061,2024-04-09T09:47:05+00:00,"63. Návrh zpeněžení pozemku p. č. 1301 v k. ú. Staré Brno, jehož součástí je administrativní objekt na adrese Hybešova č. or. 16 (vjezd Vodní č. or. 9) formou veřejné elektronické dobrovolné dražby",pass,Z9/16,61,44,0,5
2024-04-09-060,2024-04-09T09:46:21+00:00,"62. Návrh na vyjmutí nemovitých věcí – pozemku p. č. 488 a pozemku p. č. 489, jehož součástí je rodinný dům č. p. 93, Hroznová 39, Brno, vše v k. ú. Pisárky, ze ""Seznamu bytových a rodinných domů, které budou připravovány k prodeji""",pass,Z9/16,60,41,2,4
2024-04-09-059,2024-04-09T09:45:35+00:00,"61. Projekt ""Rozvoj ITS v Brně, 1. etapa"" – návrh rámcové smlouvy o financování projektu",pass,Z9/16,59,48,0,1
2024-04-09-058,2024-04-09T09:45:03+00:00,"60. Projekt ""Paracentrum Fénix"" – návrh smlouvy o poskytnutí návratné finanční výpomoci; návrh zástavní smlouvy; návrh rozpočtového opatření",pass,Z9/16,58,48,0,0
2024-04-09-057,2024-04-09T09:44:31+00:00,"59. Projekt ""Modernizace kuchyně MMB Malinovského nám. 3"" – rozhodnutí o poskytnutí dotace",pass,Z9/16,57,49,0,0
2024-04-09-056,2024-04-09T09:44:01+00:00,"58. Projekt ""Bazén Ponávka – technické zhodnocení"" – posouzení projektu",pass,Z9/16,56,42,0,6
2024-04-09-055,2024-04-09T09:43:31+00:00,"57. Projekt ""Základní a mateřská škola Nová Zbrojovka, Brno – pořízení PD"" – posouzení projektu",pass,Z9/16,55,42,0,6
2024-04-09-054,2024-04-09T09:43:03+00:00,"56. Projekt ""Stavební úpravy MŠ Štolcova 51"" – posouzení projektu",pass,Z9/16,54,42,0,6
2024-04-09-053,2024-04-09T09:42:35+00:00,"55. Projekt ""Přírodní vzdělávací pointy v areálu Zoo Brno"" – posouzení projektu",pass,Z9/16,53,43,6,0
2024-04-09-052,2024-04-09T09:40:54+00:00,"54. Projekt ""IT vybavení pro stavební úřad"" – posouzení projektu",pass,Z9/16,52,41,0,8
2024-04-09-051,2024-04-09T09:40:25+00:00,53. Finanční prostředky Fondu kofinancování projektů – duben 2024 – návrh rozpočtových opatření,pass,Z9/16,51,43,6,0
2024-04-09-050,2024-04-09T09:39:49+00:00,"51. Návrh na prominutí dluhů na nájemném v objektu Koniklecová 5, Brno",pass,Z9/16,50,42,5,2
2024-04-09-049,2024-04-09T09:39:20+00:00,50. Návrh Smlouvy o spolupráci na přípravě a realizaci programů rezidencí začleněných do systému rezidencí „Villa HEZKA“,pass,Z9/16,49,42,0,6
2024-04-09-048,2024-04-09T09:38:50+00:00,49. Návrh Smlouvy o poskytnutí investičního příspěvku „Nová Zbrojovka – objekt F“,pass,Z9/16,48,48,0,0
2024-04-09-047,2024-04-09T09:38:22+00:00,"48. Návrh smlouvy o poskytnutí individuální dotace z rozpočtu města Brna v roce 2024 pro spolek Parnas, z. s., na projekt „Koncertní cesta orchestru ZUŠ Veveří do Lipska (DE)“ – návrh rozpočtového opatření",pass,Z9/16,47,49,0,0
2024-04-09-046,2024-04-09T09:37:47+00:00,"47. Návrh smlouvy o poskytnutí individuální dotace z rozpočtu města Brna v roce 2024 pro Divadlo BARKA, z. ú., na činnost „Divadlo BARKA“ – návrh rozpočtového opatření",pass,Z9/16,46,41,5,2
2024-04-09-045,2024-04-09T09:37:13+00:00,46. Návrh záměru poskytnutí dotace České provincii Kongregace sester sv. Cyrila a Metoděje na výstavbu Cyrilometodějské mateřské školy Brno,pass,Z9/16,45,46,0,1
2024-04-09-044,2024-04-09T09:36:38+00:00,45. Návrh na poskytnutí neinvestičních příspěvků základním školám na zajištění základní plavecké výuky žáků základních škol – návrh rozpočtového opatření,pass,Z9/16,44,46,0,0
2024-04-09-043,2024-04-09T09:36:08+00:00,44. Návrh na poskytnutí finančních podílů z rozpočtu města Brna na projekty prevence kriminality v roce 2024 - návrh rozpočtového opatření,pass,Z9/16,43,48,0,0
2024-04-09-042,2024-04-09T09:35:36+00:00,"43. Návrh na poskytnutí investičního příspěvku Centru sociálních služeb, příspěvkové organizaci, na akci ""Rekonstrukce vnitřních prostor objektu Masná 134/3b, k. ú. Trnitá"", návrh rozpočtového opatření",pass,Z9/16,42,47,0,0
